facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F0434,South,7.5,3.6,Low,Yes,351,1,2024-03-28
F0435,East,5.3,2.3,Low,Yes,455,2,2024-11-23
F0436,East,5.5,2.3,Low,Yes,62,1,2024-09-06
F0437,Central,9.0,2.3,High,No,160,2,2024-07-02
F0438,North,7.2,4.1,Medium,Yes,441,1,2024-03-25
F0439,West,8.3,1.9,High,Yes,65,2,2024-01-23
F0440,Central,6.1,4.0,Medium,Yes,239,1,2024-09-02
F0441,Central,9.1,3.0,Low,Yes,195,0,2024-11-15
F0442,South,7.5,3.2,Low,No,376,1,2024-10-08
F0443,North,7.7,4.8,High,Yes,442,3,2024-03-22
F0444,East,7.8,2.4,Medium,Yes,53,1,2024-07-05
F0445,North,5.8,5.0,Low,Yes,33,1,2024-09-20
F0446,North,4.2,1.3,Medium,Yes,211,0,2024-04-01
F0447,North,5.4,2.0,Medium,Yes,439,3,2024-01-13
F0448,South,9.4,1.1,Medium,Yes,340,3,2024-08-07
F0449,Central,9.0,2.1,Medium,Yes,239,1,2024-01-09
F0450,West,,3.7,High,Yes,356,2,2024-11-28
F0451,West,6.5,3.9,Low,Yes,377,1,2024-05-04
F0452,Central,8.6,3.4,Low,Yes,421,1,2024-09-18
F0453,East,6.7,3.3,High,Yes,273,1,2024-07-18
F0454,North,5.1,1.6,Low,Yes,150,1,2024-09-10
F0455,North,8.9,1.4,High,Yes,63,1,2024-10-26
F0456,South,7.7,3.4,Low,Yes,457,0,2024-11-24
F0457,West,3.2,4.6,Low,Yes,372,1,2024-12-14
F0458,South,6.5,2.6,Medium,Yes,364,0,2024-05-20
F0459,South,7.2,1.5,Low,Yes,81,1,2024-01-19
F0460,North,7.7,1.2,Low,Yes,204,0,2024-04-05
F0461,West,7.2,2.2,Medium,Yes,473,1,2024-03-10
F0462,North,6.0,4.9,Low,Yes,85,2,2024-07-24
F0463,East,6.8,2.8,Medium,Yes,265,2,2024-08-08
F0464,West,7.4,1.8,Low,Yes,68,1,2024-08-01
F0465,East,6.6,2.3,Medium,Yes,329,1,2024-07-06
F0466,West,6.4,2.4,Low,Yes,489,2,2024-11-13
F0467,West,8.9,3.3,Low,Yes,26,0,2024-06-16
F0468,South,5.6,2.2,Low,Yes,184,0,2024-11-06
F0469,North,6.5,1.9,Medium,Yes,85,1,2024-11-13
F0470,North,4.0,2.8,Low,Yes,465,1,2024-07-04
F0471,East,7.8,3.6,Low,Yes,412,3,2024-10-19
F0472,South,8.2,3.9,High,Yes,453,1,2024-04-03
F0473,North,7.8,3.7,High,Yes,47,1,2024-06-14
F0474,West,8.4,2.5,Medium,Yes,481,2,2024-09-01
F0475,Central,7.7,1.0,Low,Yes,40,1,2024-03-20
F0476,Central,7.5,2.0,Low,Yes,399,3,2024-06-19
F0477,East,7.7,3.3,Medium,Yes,61,0,2024-01-11
F0478,East,6.6,1.4,Low,Yes,279,1,2024-09-15
F0479,Central,8.8,3.3,High,Yes,103,1,2024-05-07
F0480,East,6.5,2.3,Low,Yes,32,0,2024-03-05
F0481,North,4.8,2.3,High,Yes,380,2,2024-10-10
F0482,South,8.3,4.3,Medium,Yes,68,3,2024-07-22
F0483,Central,9.8,3.3,Low,No,339,2,2024-01-30
F0484,North,5.6,4.6,Medium,Yes,494,0,2024-01-31
F0485,Central,6.8,1.9,Medium,Yes,399,2,2024-10-14
F0486,West,6.0,4.4,Low,Yes,252,2,2024-10-31
F0487,East,6.4,4.1,Low,Yes,385,0,2024-03-09
F0488,Central,7.1,0.0,Low,No,445,0,2024-10-29
F0489,Central,5.1,2.9,Low,Yes,51,0,2024-11-26
F0490,East,6.6,4.9,High,Yes,62,0,2024-03-06
F0491,West,4.8,3.9,Medium,Yes,138,1,2024-02-14
F0492,West,6.1,2.5,Medium,Yes,429,0,2024-03-10
F0493,West,5.2,2.7,High,Yes,465,3,2024-04-27
F0494,East,5.4,1.4,Low,Yes,155,1,2024-03-15
F0495,Central,4.4,3.2,Medium,Yes,277,3,2024-04-26
F0496,Central,8.8,0.8,Low,Yes,228,2,2024-10-20
F0497,North,7.8,1.8,Medium,Yes,357,1,2024-12-30
F0498,East,4.1,4.3,Low,Yes,331,0,2024-10-16
F0499,Central,6.1,3.0,Low,Yes,488,3,2024-05-11
F0304,North,,3.4,Low,Yes,106,2,2024-11-05
F0340,West,5.8,3.4,Low,No,154,0,2024-02-26
F0047,West,8.0,1.7,Low,Yes,136,1,2024-06-24
F0067,West,8.8,5.1,Medium,Yes,499,2,2024-10-28
F0479,Central,8.8,3.3,High,Yes,103,1,2024-05-07
